-- Logs begin at Fri 2017-11-03 13:31:21 UTC, end at Fri 2017-11-03 13:48:19 UTC. --
Nov 03 13:47:28 minion2 kubelet[1334]: E1103 13:47:28.352340    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:25 minion2 kubelet[1334]: E1103 13:47:25.351537    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:25 minion2 kubelet[1334]: E1103 13:47:25.351322    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:25 minion2 kubelet[1334]: E1103 13:47:25.351088    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:22 minion2 kubelet[1334]: E1103 13:47:22.345446    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:22 minion2 kubelet[1334]: E1103 13:47:22.345192    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:22 minion2 kubelet[1334]: E1103 13:47:22.344987    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:19 minion2 kubelet[1334]: E1103 13:47:19.336032    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:19 minion2 kubelet[1334]: E1103 13:47:19.335955    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:19 minion2 kubelet[1334]: E1103 13:47:19.335839    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:16 minion2 kubelet[1334]: E1103 13:47:16.328181    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:16 minion2 kubelet[1334]: E1103 13:47:16.328130    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:16 minion2 kubelet[1334]: E1103 13:47:16.328081    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:13 minion2 kubelet[1334]: E1103 13:47:13.330896    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:13 minion2 kubelet[1334]: E1103 13:47:13.330710    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:13 minion2 kubelet[1334]: E1103 13:47:13.330500    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:10 minion2 kubelet[1334]: E1103 13:47:10.322218    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:10 minion2 kubelet[1334]: E1103 13:47:10.321977    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:10 minion2 kubelet[1334]: E1103 13:47:10.321728    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:07 minion2 kubelet[1334]: E1103 13:47:07.315873    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:07 minion2 kubelet[1334]: E1103 13:47:07.315691    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
